,0,Label
0,relevant (0.999876856803894),__label__Irrelevant
1,relevant (0.9990298748016357),__label__relevant
2,relevant (0.983913779258728),__label__Irrelevant
3,Irrelevant (0.9364796280860901),__label__relevant
4,Irrelevant (0.8574591875076294),__label__relevant
5,Irrelevant (0.9999624490737915),__label__Irrelevant
6,relevant (0.9994502663612366),__label__relevant
7,relevant (0.9986066222190857),__label__relevant
8,Irrelevant (0.9928225874900818),__label__Irrelevant
9,Irrelevant (0.9988203644752502),__label__Irrelevant
10,relevant (0.8522159457206726),__label__Irrelevant
11,Irrelevant (0.9997060894966125),__label__Irrelevant
12,relevant (0.9984606504440308),__label__relevant
13,Irrelevant (0.6454513072967529),__label__Irrelevant
14,relevant (0.9965772032737732),__label__relevant
15,relevant (0.9999711513519287),__label__relevant
16,Irrelevant (0.9993558526039124),__label__Irrelevant
17,Irrelevant (0.9996148347854614),__label__Irrelevant
18,relevant (0.9999659061431885),__label__relevant
19,relevant (0.9999991655349731),__label__relevant
20,Irrelevant (0.5701007843017578),__label__Irrelevant
21,Irrelevant (0.9943806529045105),__label__Irrelevant
22,Irrelevant (0.9625547528266907),__label__relevant
23,Irrelevant (0.9948524832725525),__label__Irrelevant
24,Irrelevant (0.9978429079055786),__label__Irrelevant
25,relevant (0.9919033646583557),__label__relevant
26,relevant (0.824652373790741),__label__Irrelevant
27,relevant (0.8687015771865845),__label__relevant
28,relevant (0.999994158744812),__label__Irrelevant
29,Irrelevant (0.7615289688110352),__label__Irrelevant
30,Irrelevant (0.9478363990783691),__label__Irrelevant
31,Irrelevant (0.960384726524353),__label__relevant
32,relevant (0.6090811491012573),__label__relevant
33,relevant (0.9678152203559875),__label__Irrelevant
34,Irrelevant (0.9575397372245789),__label__relevant
35,Irrelevant (0.9329643249511719),__label__Irrelevant
36,relevant (0.5561416149139404),__label__relevant
37,relevant (0.968800961971283),__label__relevant
38,Irrelevant (0.7112388014793396),__label__relevant
39,Irrelevant (0.9987269043922424),__label__Irrelevant
40,relevant (0.9848645925521851),__label__relevant
41,Irrelevant (0.9999783039093018),__label__Irrelevant
42,Irrelevant (0.8300050497055054),__label__relevant
43,Irrelevant (0.9997090697288513),__label__Irrelevant
44,Irrelevant (0.9920972585678101),__label__Irrelevant
45,Irrelevant (0.9871790409088135),__label__relevant
46,Irrelevant (0.999998927116394),__label__Irrelevant
47,Irrelevant (0.9998465776443481),__label__Irrelevant
48,relevant (0.9050121307373047),__label__relevant
49,relevant (0.9739444851875305),__label__relevant
50,relevant (0.9961362481117249),__label__relevant
51,Irrelevant (0.9543144106864929),__label__Irrelevant
52,Irrelevant (0.9943737983703613),__label__relevant
53,Irrelevant (0.9870277643203735),__label__Irrelevant
54,relevant (0.9995705485343933),__label__relevant
55,Irrelevant (0.6972553133964539),__label__Irrelevant
56,Irrelevant (0.9999914169311523),__label__Irrelevant
57,relevant (0.9995037317276001),__label__relevant
58,relevant (0.9669228792190552),__label__Irrelevant
59,relevant (0.9999998807907104),__label__Irrelevant
60,relevant (0.9988401532173157),__label__relevant
61,relevant (0.9981114864349365),__label__Irrelevant
62,Irrelevant (0.651848554611206),__label__Irrelevant
63,Irrelevant (0.9686614274978638),__label__relevant
64,Irrelevant (0.8330540060997009),__label__Irrelevant
65,relevant (0.5463821291923523),__label__relevant
66,relevant (0.9999979734420776),__label__relevant
67,Irrelevant (0.8041548728942871),__label__Irrelevant
68,Irrelevant (0.9999948740005493),__label__Irrelevant
69,Irrelevant (0.997538685798645),__label__Irrelevant
70,relevant (0.9806767702102661),__label__relevant
71,Irrelevant (0.9992842078208923),__label__Irrelevant
72,Irrelevant (0.9940912127494812),__label__Irrelevant
73,Irrelevant (0.9995216131210327),__label__Irrelevant
74,relevant (0.999951958656311),__label__relevant
75,Irrelevant (0.871824324131012),__label__relevant
76,relevant (0.9770206212997437),__label__Irrelevant
77,Irrelevant (0.9852412343025208),__label__Irrelevant
78,relevant (0.8709092140197754),__label__relevant
79,relevant (0.8538726568222046),__label__relevant
80,relevant (0.9932888150215149),__label__relevant
81,Irrelevant (0.8745488524436951),__label__Irrelevant
82,relevant (0.9997660517692566),__label__relevant
83,Irrelevant (0.9923940896987915),__label__Irrelevant
84,relevant (0.9990764856338501),__label__relevant
85,relevant (0.6844329833984375),__label__relevant
86,relevant (0.8396804928779602),__label__Irrelevant
87,relevant (0.9770705699920654),__label__relevant
88,relevant (0.9979057312011719),__label__relevant
89,relevant (0.9995393753051758),__label__relevant
90,relevant (0.9991932511329651),__label__relevant
91,Irrelevant (0.9992362260818481),__label__Irrelevant
92,relevant (0.9963794350624084),__label__relevant
93,relevant (0.5276167988777161),__label__relevant
94,Irrelevant (0.9869165420532227),__label__Irrelevant
95,Irrelevant (0.9988102912902832),__label__Irrelevant
96,Irrelevant (0.9997790455818176),__label__Irrelevant
97,Irrelevant (0.9446189403533936),__label__relevant
98,Irrelevant (0.9852256178855896),__label__Irrelevant
99,relevant (0.9999961853027344),__label__relevant
100,relevant (0.9913251399993896),__label__relevant
101,Irrelevant (0.9911485910415649),__label__Irrelevant
102,relevant (0.9671633243560791),__label__relevant
103,relevant (0.999840259552002),__label__relevant
104,Irrelevant (0.9952008724212646),__label__Irrelevant
